id,pathway_id,pathway_slug,pathway_title,step_number,title,description,type,is_optional
1d223fcf-0a11-4857-9bc5-27fe227270f9,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),4,Prepare work permit extension application,Follow the official instructions for extending or changing conditions on your work permit. Select 'Open work permit' as the permit type in your application.,information,false
8d543dde-de07-43b2-a41d-078b3b88fc7c,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),5,Calculate and prepare fees,Determine the total fees required: work permit processing fee plus open work permit holder fee. Ensure payment method is ready before submission.,information,false
dbf435ad-4090-41ad-ba8f-954ab1623256,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),6,Submit BOWP application online,"Apply online through the official IRCC portal, uploading all required documents in designated fields (e.g., 'Client information' field for acknowledgement of receipt letter). Pay all required fees with submission.",information,false
3315bbc9-1328-430f-9e3a-aa83dfc50da5,5c7bcebf-ab9a-4e4f-a0d6-44ab41d22ff7,canada-bowp,Bridging Open Work Permit (BOWP),7,Monitor application status,Track your BOWP application status through your online account. Ensure you remain in Canada with valid temporary resident status while awaiting a decision on your BOWP application.,information,false
c6b9f168-b91c-43fb-8e6c-5ddd7773a1a3,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),1,Determine your NOC code and verify TEER level,"Find the National Occupational Classification (NOC) code for your job and confirm it falls within TEER 0, 1, 2, or 3 categories. Ensure your role meets all skilled work experience requirements including performing lead statement actions and most main duties.",information,false
aa34730d-324a-4341-9509-0b42587083c1,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),2,Verify Canadian work experience eligibility,"Confirm you have at least 1 year of Canadian work experience (1,560 hours) gained in the 3 years before applying, while authorized to work in Canada. Document paid work only; self-employment and student work do not count.",information,false
09beead0-500c-4fd1-a70e-1e9056cfd03d,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),3,Take and pass approved language tests,"Take approved English or French language tests and achieve the minimum score in all 4 abilities: writing, reading, listening, and speaking.",information,false
94dd6341-3a02-4e3a-a3cb-a66c66f18fd0,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),4,Gather educational credentials (if applicable),"If you have Canadian education, gather your certificate, diploma, or degree. If you have foreign education and want to improve your rank, obtain an educational credential assessment (ECA) report for immigration purposes.",information,true
b47742f3-dd01-4852-85fc-61a6796016c9,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),5,Confirm admissibility to Canada,"Ensure you are admissible to Canada by verifying you have no security, criminal, or medical inadmissibility issues.",information,false
599b6d88-f1f5-466c-8be0-71172f702eb6,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),6,Decide on province or territory of residence,"Confirm you plan to live outside Quebec (unless provincially nominated), or verify provincial nomination eligibility if applicable. Document your settlement plans.",information,false
3bba1186-f363-43a7-bb71-4fdbe1c0b93c,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),7,Create Express Entry profile,"Create your Express Entry profile with accurate work experience, language test scores, and education details. Do not check self-employed work if your experience qualifies under physician exemption.",information,false
27b7025d-f123-4b92-92e9-d90e79dd917a,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),8,Submit application after Invitation to Apply,Wait for an Invitation to Apply (ITA) and submit your full permanent residence application with all supporting documentation within the specified timeframe.,information,false
64409e48-2438-4cfc-9cef-d08af195b287,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),9,Complete biometrics,Provide fingerprints and photo at a Visa Application Centre (VAC) or Application Support Center. Required for all Express Entry applicants. Biometrics are valid for 10 years.,information,false
ddf73cc0-7dba-4b61-853f-81e3b1ebeab0,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),10,Complete medical exam,Attend a medical examination with an IRCC-designated panel physician. Required after submitting your e-APR. Results are valid for 12 months.,information,false
323ad11f-11c9-44d1-83b9-973c318f64bf,57b21155-bba4-4ce0-bccf-38609e7ac34c,canada-cec,Canadian Experience Class (CEC),11,Receive Confirmation of Permanent Residence,"IRCC issues your Confirmation of Permanent Residence (COPR). Sign and submit it, then land in Canada before the expiry date to activate your permanent residency.",information,false
6c4cdf5d-b2c1-4169-a9a6-69bcb85978b9,d0cdb5cd-fbf4-4d93-9a38-cbba521c89d4,express-entry,Express Entry,1,Educational Credential Assessment,Have your foreign educational credentials assessed by a designated organisation such as WES so IRCC can evaluate your Canadian equivalent education level.,information,false
b3527953-8b4c-4928-8e5e-99a345d72303,d0cdb5cd-fbf4-4d93-9a38-cbba521c89d4,express-entry,Express Entry,2,Language Testing,Complete an approved English or French language test (IELTS General Training or CELPIP for English; TEF Canada or TCF Canada for French) and obtain your CLB scores.,information,false
c97f8192-0a96-46d6-a791-e80aae0a3cdb,d0cdb5cd-fbf4-4d93-9a38-cbba521c89d4,express-entry,Express Entry,3,Create Express Entry Profile,"Submit your Express Entry profile on the IRCC portal. Your Comprehensive Ranking System (CRS) score is calculated based on your age, education, work experience, and language scores.",information,false
d2de8d71-71cd-458a-a899-47e95d641555,d0cdb5cd-fbf4-4d93-9a38-cbba521c89d4,express-entry,Express Entry,4,Wait for Invitation to Apply,Your profile sits in the Express Entry pool. IRCC holds regular draws and issues Invitations to Apply (ITAs) to the highest-ranked candidates. Draw scores vary by program and economic conditions.,information,false
86fb5100-5b63-4828-b7a6-ff6cdbe5990e,d0cdb5cd-fbf4-4d93-9a38-cbba521c89d4,express-entry,Express Entry,5,Submit Permanent Residency Application,"After receiving your ITA you have 60 days to submit a complete online application for permanent residency. Gather all required documents, undergo medical and security checks, and pay the processing fee.",information,false
53938a38-2a53-4893-bcc6-fee9ed2b8a3a,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,1,Determine your NOC and verify TEER eligibility,"Find your National Occupational Classification code and confirm your job falls within TEER categories 0, 1, 2, or 3. Ensure you can demonstrate the lead statement actions and most main duties from the NOC job description.",information,false
d99d680e-790f-4984-96fb-b31c4c96b0e6,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,2,Verify skilled work experience requirements,"Confirm you have at least 1 year of continuous work (or 1,560 hours) in your primary occupation within the last 10 years. Calculate your total hours if combining part-time or multiple jobs.",information,false
eea32e84-79ff-4d2e-9a2c-deff05732f8e,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,3,Take approved language tests,"Take an approved English or French language test and achieve a minimum CLB 7 in all four abilities (speaking, listening, reading, writing). Obtain official test results from an approved testing agency.",information,false
131d2857-712a-4b77-a237-83b7536119f5,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,4,Obtain Educational Credential Assessment if applicable,"If you have foreign education credentials, obtain an Educational Credential Assessment report for immigration purposes. If you have Canadian education, gather your certificate, diploma, or degree.",information,true
92f5b596-b75a-4041-8040-d293fac61efd,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,5,Score your selection factors and verify the 67-point minimum,"Using the federal skilled worker points grid, calculate your score across the six selection factors: official language ability, age, education, work experience, arranged employment in Canada, and adaptability. You must reach at least 67 out of 100 to be eligible for the FSW program — falling below this threshold makes you ineligible regardless of your CRS score in the Express Entry pool.",information,false
5c93acd5-e50e-405f-8f0f-804b48aea696,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,6,Gather proof of funds if required,"Prepare proof that you have sufficient funds for you and your family to settle in Canada, unless you are legally able to work in Canada and have a valid job offer.",information,true
03cd6725-4552-4d95-a8c6-6d2226ff448e,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,7,Create and submit Express Entry profile,Submit your profile to the Express Entry pool with all required documents and information. Confirm your plan to settle outside Quebec unless you have a provincial nomination.,information,false
b96724ea-9c56-4de6-8a0a-e1a866a6259d,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,8,Await invitation to apply for permanent residence,"Wait in the Express Entry pool for an Invitation to Apply based on your Comprehensive Ranking System score. Upon invitation, you will have a set timeframe to submit your full permanent residence application.",information,false
013d8023-d731-4518-b185-1be232ae5774,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,9,Submit e-APR within 60 days,"Upload all required documents through the IRCC portal: passport, language results, ECA, reference letters, police certificates, proof of funds, and photos. You have exactly 60 days from your ITA to submit a complete application.",information,false
674e5c91-78e9-46da-a80f-ab4cc8d99412,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,10,Complete biometrics,Provide fingerprints and photo at a Visa Application Centre (VAC) or Application Support Center. Biometrics are valid for 10 years.,information,false
e22ff223-881c-4d62-9596-9c67af0a8066,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,11,Complete medical exam,Attend a medical examination with an IRCC-designated panel physician. Required after submitting your e-APR. Results are valid for 12 months.,information,false
04a506a7-3c44-493e-a3a9-2e31969978ba,7214d890-a0c9-44d7-901d-b363e7fdd323,canada-express-entry-fsw,Express Entry – Federal Skilled Worker,12,Receive Confirmation of Permanent Residence,"IRCC issues your COPR. Sign and submit it, then land in Canada before the expiry date.",information,false
6d5ae3cf-c8a1-432e-befa-011e88e5ba50,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,1,Show your interest and create Express Entry profile,Create an online Express Entry profile in your IRCC secure account to show your interest in immigrating to Canada.,information,false
c05c8c82-1d8d-446c-a9be-0ad6e1c5bce2,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,2,Confirm your NOC code is STEM-eligible,"Check that your primary work experience NOC code falls within a qualifying STEM category (typically engineering, information technology, natural sciences, or mathematics). IRCC publishes the list of STEM-eligible NOC codes for category-based selection draws — confirm your code before building your Express Entry profile.",information,false
70269ca3-03cc-4cd0-80f4-88c21950e9d6,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,3,Confirm eligibility for Express Entry program,"Ensure you meet minimum criteria and are eligible for one of the 3 Express Entry programs: Federal Skilled Worker Class, Federal Skilled Trades Class, or Canadian Experience Class.",information,false
28c5d177-aa07-4029-b375-562a788c8271,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,4,Get placed in Express Entry pool,"Once your profile meets program eligibility requirements, IRCC will place you in the Express Entry pool.",information,false
d171ff16-c7ae-4427-b744-0490b14a4cfb,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,5,Receive Comprehensive Ranking System score,IRCC assigns you a CRS score based on your profile information. You can view your score in your IRCC account while your profile remains in the pool.,information,false
2ace6722-c89f-4126-a91e-9061c3cb0880,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,6,Wait for category-based round,IRCC identifies candidates eligible for specific categories and ranks profiles by CRS score. You will be ranked among eligible candidates if you meet category requirements.,information,false
2a0b214b-2cee-4d6e-97e9-1da02e1893e6,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,7,Receive invitation to apply,"If you are among the top-ranking eligible candidates in a category-based round, IRCC will send you an invitation to apply for permanent residence.",information,false
477500dd-48d0-49ba-a659-42bd3206d986,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,8,Submit permanent residence application,"Within 60 days of receiving your invitation, submit a complete application for your chosen Express Entry program.",information,false
0c815321-c903-45b4-807f-76947a6bca6c,ae71faae-7067-4f90-ab63-f32aa3b11879,canada-express-entry-stem,Express Entry – STEM Category Draw,9,Receive decision on application,"IRCC reviews your application based on program eligibility, profile accuracy, category eligibility, and admissibility to Canada, then makes a decision.",information,false
29782d20-6973-4caf-9ded-9f7ec126f741,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,1,Determine eligibility as sponsor,"Verify you meet basic requirements: at least 18 years old, Canadian citizen or permanent resident, live in Canada with primary residence in Canada, and have no disqualifying factors such as criminal convictions or outstanding financial obligations.",information,false
1f8838ad-9af1-4cd7-aff5-3a4c2ab80f9a,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,2,Assess family member eligibility,Confirm the family member you wish to sponsor meets requirements for the specific program: spouse/partner/dependent child or parents/grandparents.,information,false
d33ca4a4-e902-4af8-a4e8-3c707aa7c952,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,3,Gather required documents,"Collect proof of income, identification documents, and other supporting documentation as specified for your sponsorship category.",information,false
dc94f32d-ea8b-483a-a92c-f654f4abbf1b,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,4,Complete sponsorship application forms,"Fill out the required application forms including the undertaking and sponsorship agreement. If applicable, complete the Financial Evaluation Form (IMM 1283) to demonstrate sufficient income.",information,false
b434ef0d-1a1e-441d-b222-23a0ff91fcd4,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,5,Submit complete application,"Submit your application package to Immigration, Refugees and Citizenship Canada (IRCC) with all required documents and fees.",information,false
146f47e9-31bc-4175-a604-c8593dab82ec,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,6,Wait for application processing,"IRCC will process your application and may request additional information or documentation. Processing time varies based on application completeness, complexity, and current intake volumes.",information,false
e269c698-8d2a-4fe1-9717-63bc07c49431,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,7,Obtain Quebec undertaking (if applicable),"If you live in Quebec, submit the undertaking application to Quebec's Ministère de l'Immigration, de la Francisation et de l'Intégration only after receiving confirmation from IRCC to do so.",information,true
d18356c0-7709-444d-b24d-dfa1a9bed53f,c86d1334-e660-4696-9e3e-49e78b4d3865,canada-family-sponsorship,Family Sponsorship,8,Receive approval decision,"IRCC issues a final decision on the sponsorship application. Upon approval, the sponsored family member can proceed with permanent residence processing.",information,false
8c956a55-fec4-40c5-983e-f7dfa97f9b82,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),1,Determine your National Occupational Classification (NOC),"Find the NOC code that matches your skilled trade job. Verify your work experience is in one of the eligible NOC groups: Major Groups 72 (excluding 726), 73, 82, 83, 92, or 93 (excluding 932), Minor Group 6320, or Unit Group 62200.",information,false
7b01b905-fd2f-46e6-adf6-053398d28363,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),2,Verify minimum work experience requirements,"Confirm you have at least 2 years (3,120 hours) of paid full-time work experience in your skilled trade within the 5 years before applying. Ensure you performed the lead statement actions and most main duties listed in your NOC job description.",information,false
8eaa4a5c-4205-4b0c-af41-8074cea14e44,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),3,Obtain job offer or certificate of qualification,"You must have either a valid job offer for full-time employment lasting at least 1 year, or a certificate of qualification in your skilled trade from a Canadian provincial, territorial, or federal authority. Contact the appropriate provincial or territorial body governing trades to get assessed.",information,false
d98c4ebe-f026-4633-9004-9ab1701e1e1f,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),4,Complete language test requirement,"Take an approved English or French language test and meet the minimum score in all 4 abilities: writing, reading, listening, and speaking.",information,false
6719c3c3-8e6b-4121-acaf-8370d4233724,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),5,Gather proof of funds or confirm employment status,"If you do not have a valid Canadian job offer and are not legally able to work in Canada, gather documents showing you have enough money for you and your family to settle in Canada.",information,true
d7d921d4-1942-4308-a0e9-7e569eda5c59,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),6,Confirm admissibility to Canada,"Ensure you are admissible to Canada by reviewing security, criminal, and medical requirements. Gather any necessary police certificates or medical exam documentation.",information,false
2756875a-6128-409a-b2f8-21087540d369,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),7,Decide where you plan to live in Canada,Confirm you plan to live outside Quebec (unless you are a Provincial Nominee and must settle in the nominating province or territory). Gather proof if counting Quebec work experience.,information,false
dc9c577e-e308-42bd-a5fe-a7040e2a6365,0b53173a-216b-4fe4-b9ba-b828a7200231,canada-fstp,Federal Skilled Trades Program (FSTP),8,Create Express Entry profile and submit application,"Create your Express Entry profile with all required information including your NOC, work experience, language test scores, education credentials, and intended province of residence. Submit when ready.",information,false
469e99bc-bd3b-4165-a767-fa17b4cdada1,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,1,Determine qualifying work experience,Review whether your work experience as a home child care provider (NOC 44100) or home support worker (NOC 44101) in a private home setting qualifies for the pilot. Confirm the work was full-time and not in an institutional setting.,information,false
403066ae-942f-45c2-9c18-de51ce1d4299,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,2,Choose application category,"Select either the Gaining Experience category if you need more work experience, or the Direct to Permanent Residence category if you already have sufficient qualifying experience.",information,false
e5bea886-24cc-487f-9059-ea7dd25ce89b,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,3,Gather required documentation,"Compile proof of qualifying work experience, including employment letters and work history documentation that demonstrates full-time employment in an eligible NOC code.",information,false
ab7fbd15-ac02-4129-a75d-a8ab72beb86d,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,4,Create Permanent Residence Portal account,Set up or sign into your Permanent Residence Portal account to submit your application online.,information,false
97af1506-ed15-4cca-a0d5-d6a5a2f5ca13,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,5,Submit application,"Submit your completed application through the Permanent Residence Portal before the program deadline. Note that this pilot closed on June 17, 2024.",information,false
4f36aa22-d17f-49ff-a3e4-484be3f25b45,632e3e51-ec5e-4e01-8b40-1a642872eace,canada-caregiver,Home Child Care Provider & Home Support Worker Pilots,6,Submit proof of additional work experience,"If you applied to the Gaining Experience category and have since accumulated enough qualifying work experience, send proof of the additional experience to Immigration, Refugees and Citizenship Canada.",information,true
50b6bedf-1b62-4dd8-af8e-f0273a3d70b4,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),1,Determine stream eligibility,"Use the OINP Stream Selector Tool or review program documentation to identify which of the nine OINP streams you are eligible for based on your credentials, experience, and education.",information,false
e02cb27c-8d00-4feb-bd1e-18f40de64e33,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),2,Employer submits job offer (if applicable),Your employer registers their business in the Employer Portal and creates a job offer for your position. You will receive a job offer ID to use for registration.,information,true
ccca9869-8997-47f8-93a6-f248b363a4d5,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),3,Register expression of interest,Register in the OINP's expression of interest system using your job offer ID (if applicable) or directly if applying to streams that do not require a job offer. Registration must be completed within 30 calendar days of employer submission.,information,false
802e43af-528e-43b3-85a0-8a51b680cedc,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),4,Receive invitation to apply,Wait for Ontario to issue an invitation to apply based on your expression of interest and the program's draw requirements. Check the OINP Program Updates page for draw details.,information,false
f87bb494-d509-4b58-8d3f-144f52afba94,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),5,Gather required documents,"Collect all documents specified in the document checklist for your stream, including language test results, proof of education, work experience documentation, and settlement funds evidence.",information,false
b0ddcdad-5fa4-4c10-8090-49a5872eabf5,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),6,Submit application to OINP,Log into your Ontario.ca account and submit your application online within the deadline specified in your invitation (typically 14-17 calendar days). Pay the application fee at submission.,information,false
d1a4504f-c903-410d-963f-b85d8373d60c,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),7,Receive provincial nomination decision,"OINP reviews your application and either approves or rejects your nomination. If approved, you receive a notification.",information,false
3091f489-b85a-4432-af6e-427c76e83edd,6df7cd37-b8f4-4659-956a-897521f0b368,canada-pnp-ontario,Ontario Immigrant Nominee Program (OINP),8,Apply for permanent residence to federal government,"Submit your application to Immigration, Refugees and Citizenship Canada (IRCC) using your provincial nomination. IRCC makes the final decision on permanent residence approval.",information,false
a35e4d6f-9241-483c-8d0c-f38915e3a8fb,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),1,Verify graduation from PGWP-eligible designated learning institution,Confirm you completed a program at least 8 months long (or 900 hours for Quebec) at a designated learning institution (DLI) that is PGWP-eligible. Obtain official confirmation of program completion from your school.,information,false
0906dcf2-e818-4999-96f8-efdc17e2f10e,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),2,Assess language requirement eligibility,"Determine if you must meet language requirements based on your program type and application date. If you submitted your study permit application before November 1, 2024, language requirements are waived. Otherwise, arrange a language test if needed.",information,false
946d3f2e-c362-4c0a-a182-7a8854320a13,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),3,Confirm field of study eligibility (if applicable),"If you graduated from a college, polytechnic, or non-university program and submitted your study permit application on or after November 1, 2024, verify your field of study is on the eligible list linked to occupations in long-term shortage.",information,true
bfbea3bb-f051-45a2-be4f-3f5afae0a854,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),4,Gather required documents and supporting evidence,"Collect your study permit, proof of program completion, language test results (if required), and any other documents needed to support your PGWP application.",information,false
6c0e0a5f-e36e-4f20-98a0-bb466c17c065,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),5,Apply for PGWP within 180 days of completion,Submit your post-graduation work permit application within 180 days of confirmation that you completed your program of study. Ensure your study permit was valid at some point during the 180 days after graduation and before you submitted your application.,information,false
4378a8b8-dcd6-4c05-af09-cb678f422134,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),6,Pay PGWP application fee,Submit the PGWP application fee of $255 CAD with your application.,information,false
a2ffdbf7-1cd9-41e3-834f-7082c61562b3,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),7,Wait for PGWP processing and decision,"Immigration, Refugees and Citizenship Canada (IRCC) will review your application and notify you of the decision. Check the processing times page for current estimated wait periods.",information,false
259fd975-e2b7-48ba-8e3e-21b872a7bc9b,9b5a7066-3fbc-4496-98e0-efbc4f42ac4d,canada-pgwp,Post-Graduation Work Permit (PGWP),8,Receive PGWP and begin work in Canada,"Once approved, you will receive your post-graduation work permit. You can now legally work in Canada for the duration specified on the permit.",information,false
